（亻+单）,𫢸
（兆+页）,𫖯
（匽+鸟）,𬸘
（危+页）,𬱟
（口+恶）,𫫇
（君+页）,𫖳
（土+仑）,𫭢
（土+区）,𫭟
（土+单）,𫮃
（土+夅）,鿍
（土+娄）,𪣻
（土+翏）,𪤗
（女+𢀖）,𫰛
（学-子+石）,𬒈
（寻+阝）,𬩽
（山+历）,𫵷
（山+大+车）,輋
（山+带）,𫶇
（山+曲）,𪨰
（山+献）,𪩘
（岂+页）,𫖮
（广+钦）,𫷷
（弓+区）,𫸩
（支+页）,𫠆
（族+鸟）,𬸦
（既+鱼）,𬶨
（日+见）,𬀪
（日+韦）,𬀩
（木+夹）,𬂩
（木+规）,𬃀
（木+质）,𬃊
（此+鱼）,𫚖
（氵+万）,𬇕
（氵+国）,𬇹
（氵+贝）,𬇙
（汤+玉）,𬍡
（火+区）,𬉼
（火+单）,𬊤
（火+寻）,𬊈
（牙+合）,𬌗
（狂+鸟）,鵟
（狱+鸟）,𬸚
（王+乐）,𬍛
（王+寻）,𬍤
（王+粲）,璨
（甫+鸟）,𬷕
（由+页）,𬱖
（番+鸟）,𬸪
（目+见）,枧
（石+肯）,𬒔
（石+览）,𬒗
（𥫗+贡）,𬕂
（纟+享）,𬘯
（纟+京）,𫟅
（纟+冘）,𬘘
（纟+因）,𬘡
（纟+完）,𬘫
（纟+寅）,𬙂
（纟+川）,𬘓
（纟+希）,𫄨
（纟+延）,𫄧
（纟+廷）,𬘩
（纟+意）,𫄷
（纟+林）,𬘭
（纟+熏）,𫄸
（纟+襄）,𬙋
（纟+青）,𬘬
（纟+墨）,𬙊
（艹+为）,𫇭
（艹+带）,𦷾
（艹+问）,𬜬
（艹+频）,𬞟
（艹+鹝）,𬟁
（虫+东）,𬟽
（螨-虫+王）,(𬜯+王)
（衤+责）,襀
（讠+于）,𬣙
（讠+叟）,𫍲
（讠+同）,𫍣
（讠+咸）,𫍯
（讠+垔）,𬤇
（讠+㝉）,𬣞
（讠+惠）,𬤝
（讠+戋）,𬣡
（讠+是）,𬤊
（讠+睘）,𫍽
（讠+艮）,𬣳
（责+力）,𪟝
（赛-贝+鸟）,𬸣
（车+兀）,𫐄
（车+兒）,𫐐
（车+柔）,𫐓
（车+氏）,𬨂
（车+贲）,𮝷
（车+酋）,𬨎
（酉+农）,𬪩
（钅+享）,𬭚
（钅+仑）,𬬭
（钅+侯）,𬭤
（钅+共）,𫟹
（钅+其）,𫓹
（钅+卢）,𬬻
（钅+召）,𬬿
（钅+喜）,𬭳
（钅+圭）,𫓯
（钅+夫）,𫓧
（钅+宏）,𬭎
（钅+弋）,𬬩
（钅+彗）,𬭬
（钅+敝）,𬭯
（钅+斤）,𬬱
（钅+术）,𬬸
（钅+杜）,𬭊
（钅+母）,𬭁
（钅+波）,𬭛
（钅+申）,𬬹
（钅+番）,𫔍
（钅+矞）,𫔎
（钅+粦）,𬭸
（钅+翁）,𬭩
（钅+肙）,𫓶
（钅+达）,达
（钅+遂）,𬭼
（钅+长）,𬬮
（钅+麦）,鿏
（钅+黑）,鿏
（门+垔）,𬮱
（门+臬）,𫔶
（阝+岂）,𬮿
（阝+贵）,𬯎
（阝+齐）,𬯀
（饣+亶）,𫗴
（饣+束）,𫗧
（马+丕）,𬳵
（马+余）,𬳿
（马+先）,𬳽
（马+冋）,𩧲
（马+匋）,𫘦
（马+原）,𫘪
（马+夬）,𫘝
（马+奚）,𫘬
（马+录）,𫘧
（马+文）,𫘜
（马+是）,𫘨
（马+玄）,𫠊
（马+砉）,𬴃
（马+粦）,𬴊
（鱼+兆）,𬶐
（鱼+剌）,𬶟
（鱼+危）,𬶏
（鱼+句）,𬶋
（鱼+喜）,𬶮
（鱼+它）,𬶍
（鱼+巤）,𫚭
（鱼+师）,𫚕
（鱼+柬）,𬶠
（鱼+祭）,𬶭
（黾+阝）,𫑡
（齿+介）,𬹼
（齿+兒）,𫠜
（齿+奇）,𬺈
（齿+楚）,𬺓
